time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-01-23T19:00:05.100Z,38.7892,-122.7645,2.6,1,Md,,86.4,0.01796631,0.02,nc,nc72145450,2014-01-23T19:35:05.757Z,"1km NNW of The Geysers, California",earthquake
2014-01-23T18:58:11.850Z,34.0655,-117.2615,15.4,1.49,ml,54,48,0.1068,0.13,ci,ci11416906,2014-01-23T19:58:00.820Z,"1km N of Loma Linda, California",earthquake
2014-01-23T18:49:50.000Z,63.1496,-150.5744,114.5,1.4,ml,14,86.3999930880005,0.3260884,0.52,ak,ak11143467,2014-01-23T19:29:12.126Z,"85km WSW of Cantwell, Alaska",earthquake
2014-01-23T18:33:29.580Z,38.1852,-117.9566,6.3605,2.4,ml,16,229,0.292,0.1134,nn,nn00435698,2014-01-23T19:22:54.393Z,"65km WNW of Tonopah, Nevada",earthquake
2014-01-23T18:17:07.670Z,-25.0044,179.5251,489.69,4.6,mb,,128,7.352,0.53,us,usb000m6rt,2014-01-23T20:19:23.000Z,"South of the Fiji Islands",earthquake
2014-01-23T18:13:42.100Z,38.8337,-122.8117,2.3,1.2,Md,,187.2,0.01796631,0.02,nc,nc72145435,2014-01-23T19:01:02.056Z,"7km W of Cobb, California",earthquake
2014-01-23T18:01:25.900Z,38.7918,-122.7265,2.4,0.8,Md,,129.6,0.00898315,0.02,nc,nc72145425,2014-01-23T18:19:02.389Z,"3km S of Cobb, California",earthquake
2014-01-23T17:25:58.540Z,-7.2538,156.7753,1,5,mb,,103,3.816,0.67,us,usb000m6qe,2014-01-23T18:24:43.318Z,"70km SSE of Chirovanga, Solomon Islands",earthquake
2014-01-23T17:25:37.000Z,61.7585,-150.2838,29.8,1.9,ml,16,75.5999939520005,0.367411,0.6,ak,ak11143384,2014-01-23T17:37:10.099Z,"13km W of Willow, Alaska",earthquake
2014-01-23T17:13:28.700Z,38.815,-122.8295,3.1,0.3,Md,,122.4,0.00898315,0.03,nc,nc72145415,2014-01-23T17:59:05.227Z,"7km WNW of The Geysers, California",earthquake
2014-01-23T16:40:11.000Z,52.0744,-171.4839,40,3.7,ml,18,208.799983296001,1.613374,0.96,ak,ak11143311,2014-01-23T17:23:31.658Z,"48km SSW of Amukta Island, Alaska",earthquake
2014-01-23T16:39:14.000Z,51.5966,-177.1398,44.7,2.2,ml,11,212.399983008001,0.1742732,0.48,ak,ak11143309,2014-01-23T17:20:01.983Z,"45km SW of Adak, Alaska",earthquake
2014-01-23T16:15:27.680Z,34.343,-116.8775,0.01,1.01,ml,31,81,0.0881,0.13,ci,ci11416898,2014-01-23T19:47:02.510Z,"9km NNW of Big Bear City, California",quarry_blast
2014-01-23T16:15:14.000Z,61.4253,-150.108,49.3,2.3,ml,25,125.999989920001,0.379089,0.93,ak,ak11143248,2014-01-23T16:23:19.402Z,"13km SW of Big Lake, Alaska",earthquake
2014-01-23T15:41:55.040Z,32.9821667,-115.9111667,8.67,1.37,ml,26,133,0.07797,0.19,ci,ci11416890,2014-01-23T20:02:24.280Z,"27km WSW of Westmorland, California",earthquake
2014-01-23T15:41:21.190Z,-14.3613,-73.5027,71.35,4.6,mb,,142,4.018,0.75,us,usb000m6ny,2014-01-23T19:34:37.000Z,"65km NE of Tambo, Peru",earthquake
2014-01-23T15:21:06.200Z,38.8168,-122.811,2.2,0.7,Md,,75.6,0.00898315,0.04,nc,nc72145400,2014-01-23T15:48:05.890Z,"6km NW of The Geysers, California",earthquake
2014-01-23T15:19:27.480Z,34.06,-117.2533333,12.13,1.37,ml,56,27,0.05149,0.14,ci,ci11416874,2014-01-23T19:39:44.340Z,"1km NNE of Loma Linda, California",earthquake
2014-01-23T15:18:00.900Z,37.5293,-118.853,9.1,1.7,Md,,158.4,0.08084838,0.04,nc,nc72145395,2014-01-23T15:51:06.216Z,"16km SE of Mammoth Lakes, California",earthquake
2014-01-23T15:00:41.260Z,17.3254,42.7527,11.88,4.4,mb,,59,3.158,0.97,us,usb000m6ni,2014-01-23T17:18:17.589Z,"23km NE of Sabya, Saudi Arabia",earthquake
2014-01-23T14:55:14.700Z,46.2515,-122.059,10.6,0.2,Md,,223.2,0.05389892,0.12,uw,uw60674452,2014-01-23T19:20:11.241Z,"37km SSE of Morton, Washington",earthquake
2014-01-23T14:48:43.000Z,60.692,-150.0345,32.3,1.5,ml,4,172.799986176001,0.2030193,0.11,ak,ak11143237,2014-01-23T14:51:35.479Z,"43km ENE of Sterling, Alaska",earthquake
2014-01-23T14:34:58.000Z,63.1931,-151.2223,0,1.5,ml,12,82.7999933760005,0.3835806,0.75,ak,ak11143233,2014-01-23T14:51:24.123Z,"112km NNW of Talkeetna, Alaska",earthquake
2014-01-23T14:07:29.760Z,33.2595,-115.6738333,8.09,1.13,ml,15,73,0.07908,0.24,ci,ci11416866,2014-01-23T19:28:13.785Z,"14km W of Niland, California",earthquake
2014-01-23T13:53:53.660Z,33.2666667,-115.682,3.01,1.39,ml,26,68,0.08469,0.14,ci,ci11416858,2014-01-23T19:22:13.630Z,"15km W of Niland, California",earthquake
2014-01-23T13:39:42.000Z,61.1056,-150.3671,52.6,1.4,ml,6,154.799987616001,0.3036306,0.46,ak,ak11143181,2014-01-23T13:46:15.653Z,"28km WSW of Anchorage, Alaska",earthquake
2014-01-23T13:34:21.000Z,63.2905,-150.4086,16.5,1.2,ml,7,75.5999939520005,0.167985,0.12,ak,ak11143179,2014-01-23T13:46:14.918Z,"73km W of Cantwell, Alaska",earthquake
2014-01-23T13:26:12.000Z,36.0303333,-117.7805,2.47,0.82,ml,12,70,0.01096,0.12,ci,ci11416850,2014-01-23T20:04:28.370Z,"42km N of Inyokern, California",earthquake
2014-01-23T13:22:01.400Z,40.9035,-121.8955,5,1.9,Md,,97.2,0.1527136,0.03,nc,nc72145370,2014-01-23T15:31:04.044Z,"19km W of Burney, California",earthquake
2014-01-23T13:13:08.820Z,33.2613333,-115.6786667,4.1,1.68,ml,43,63,0.0827,0.16,ci,ci11416842,2014-01-23T20:19:13.880Z,"15km W of Niland, California",earthquake
2014-01-23T13:10:58.440Z,33.2721667,-115.6765,3.83,1.26,ml,24,74,0.07965,0.18,ci,ci11416834,2014-01-23T20:14:50.910Z,"15km WNW of Niland, California",earthquake
2014-01-23T13:00:46.000Z,51.4922,-178.9617,45.4,3.8,ml,14,309.599975232002,0.3171053,0.71,ak,ak11143124,2014-01-23T21:03:23.287Z,"27km NNE of Amatignak Island, Alaska",earthquake
2014-01-23T12:59:56.700Z,33.277,-115.6768333,4.17,1.09,ml,18,167,0.07983,0.16,ci,ci11416826,2014-01-23T20:01:07.290Z,"15km WNW of Niland, California",earthquake
2014-01-23T12:40:00.500Z,38.8277,-122.8533,2.4,1,Md,,57.6,0.01796631,0.03,nc,nc72145360,2014-01-23T13:29:05.824Z,"10km NW of The Geysers, California",earthquake
2014-01-23T12:36:45.150Z,33.265,-115.6855,1.72,1.92,ml,44,56,0.0878,0.15,ci,ci11416818,2014-01-23T19:54:24.730Z,"15km W of Niland, California",earthquake
2014-01-23T12:26:16.100Z,38.8028,-122.7825,1.3,0.8,Md,,90,0.00898315,0.01,nc,nc72145355,2014-01-23T12:41:05.624Z,"3km NW of The Geysers, California",earthquake
2014-01-23T12:08:48.640Z,33.2688333,-115.6766667,2.84,1.1,ml,25,71,0.08003,0.13,ci,ci11416810,2014-01-23T19:39:25.210Z,"15km WNW of Niland, California",earthquake
2014-01-23T12:04:56.881Z,38.5653,-118.4451,7.6752,0.44,ml,5,164,0.087,0.0632,nn,nn00435710,2014-01-23T21:06:36.646Z,"16km ENE of Hawthorne, Nevada",earthquake
2014-01-23T12:03:38.280Z,33.2606667,-115.6926667,1.3,2.26,ml,48,79,0.09712,0.13,ci,ci11416802,2014-01-23T19:32:33.110Z,"16km W of Niland, California",earthquake
2014-01-23T12:00:58.000Z,61.9642,-150.4717,0.2,2.5,ml,45,43.1999965440003,0.3844789,1.25,ak,ak11143113,2014-01-23T20:03:30.118Z,"33km NW of Willow, Alaska",earthquake
2014-01-23T11:48:39.700Z,38.8352,-122.7997,0,0.7,Md,,111.6,0.01796631,0.11,nc,nc72145350,2014-01-23T12:06:06.830Z,"6km WNW of Cobb, California",earthquake
2014-01-23T11:40:16.500Z,38.8195,-122.7638,2.5,0.5,Md,,118.8,0.00898315,0.01,nc,nc72145345,2014-01-23T12:06:06.828Z,"3km W of Cobb, California",earthquake
2014-01-23T11:39:50.000Z,19.0303,-66.9831,48,2.9,Md,12,219.6,0.57222684,0.11,pr,pr14023003,2014-01-23T14:19:42.640Z,"58km N of Isabela, Puerto Rico",earthquake
2014-01-23T11:24:56.000Z,60.4048,-147.2858,2.3,2.1,ml,12,273.599978112002,0.6836179,0.6,ak,ak11143109,2014-01-23T11:32:05.423Z,"85km W of Cordova, Alaska",earthquake
2014-01-23T11:21:33.550Z,38.5667,-118.4245,7.76,0.74,ml,5,125,0.094,0.02,nn,nn00435683,2014-01-23T11:23:58.355Z,"18km ENE of Hawthorne, Nevada",earthquake
2014-01-23T11:08:27.900Z,18.8915,-65.9943,18,2.3,Md,3,277.2,0.6288207,0.07,pr,pr14023002,2014-01-23T13:53:31.491Z,"48km NNE of San Juan, Puerto Rico",earthquake
2014-01-23T11:05:01.220Z,33.2558333,-115.6831667,2.61,1.61,ml,9,78,0.08752,0.2,ci,ci11416794,2014-01-23T19:08:30.920Z,"15km W of Niland, California",earthquake
2014-01-23T11:04:17.300Z,33.2651667,-115.6821667,1.66,2.04,ml,43,56,0.08501,0.13,ci,ci11416786,2014-01-23T18:59:37.330Z,"15km W of Niland, California",earthquake
2014-01-23T11:03:42.940Z,33.2786667,-115.6301667,9.16,1.64,ml,9,85,0.04081,0.21,ci,ci37170213,2014-01-23T18:47:23.660Z,"11km WNW of Niland, California",earthquake
2014-01-23T11:03:35.030Z,33.2663333,-115.6736667,6.46,1.56,ml,35,57,0.0778,0.19,ci,ci11416778,2014-01-23T18:37:08.010Z,"14km WNW of Niland, California",earthquake
2014-01-23T10:52:16.900Z,36.4938,-89.4782,8.7,1.2,md,11,154.799987616001,0.07186522,0.47,nm,nm012314a,2014-01-23T13:40:40.480Z,"11km SSE of New Madrid, Missouri",earthquake
2014-01-23T10:47:33.000Z,38.8202,-122.8167,3.5,1.1,Md,,61.2,0.00898315,0.02,nc,nc72145335,2014-01-23T12:41:05.623Z,"7km NW of The Geysers, California",earthquake
2014-01-23T10:36:40.856Z,39.4185,-119.5651,8.2102,0.7,ml,11,124,0.14,0.0917,nn,nn00435682,2014-01-23T18:31:31.308Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T10:22:43.871Z,38.0073,-118.1367,12.0131,1.71,ml,12,192,0.379,0.0713,nn,nn00435681,2014-01-23T19:44:33.312Z,"71km SE of Hawthorne, Nevada",earthquake
2014-01-23T10:17:04.300Z,18.8899,-66.6518,72,2.3,Md,3,316.8,0.42669976,0.43,pr,pr14023001,2014-01-23T13:52:55.320Z,"46km N of Arecibo, Puerto Rico",earthquake
2014-01-23T10:12:31.200Z,38.9443,-123.0375,4.7,1.4,Md,,79.2,0.05389892,0.11,nc,nc72145320,2014-01-23T11:11:05.735Z,"15km N of Cloverdale, California",earthquake
2014-01-23T10:07:49.000Z,52.0177,-173.3327,46.6,3.8,ml,17,197.999984160001,0.5353959,0.66,ak,ak11143015,2014-01-23T18:10:16.908Z,"62km ESE of Atka, Alaska",earthquake
2014-01-23T10:03:50.000Z,36.9445,-121.5353,4.7,1.1,Md,,46.8,0.02694946,0.09,nc,nc72145315,2014-01-23T10:42:07.507Z,"7km SSE of Gilroy, California",earthquake
2014-01-23T09:49:04.000Z,57.6305,-154.1361,14.2,3.2,ml,18,93.5999925120006,0.6117527,0.97,ak,ak11143011,2014-01-23T17:51:36.615Z,"13km NW of Larsen Bay, Alaska",earthquake
2014-01-23T09:39:15.600Z,38.8323,-122.8513,0,1.3,Md,,79.2,0.00898315,0.34,nc,nc72145310,2014-01-23T10:19:04.968Z,"10km NW of The Geysers, California",earthquake
2014-01-23T09:37:42.000Z,63.014,-149.1542,71.8,1.5,ml,12,97.1999922240006,0.2272738,0.62,ak,ak11143007,2014-01-23T09:54:27.147Z,"43km SSW of Cantwell, Alaska",earthquake
2014-01-23T09:25:09.100Z,38.7878,-122.7633,1.8,1,Md,,82.8,0.01796631,0.02,nc,nc72145305,2014-01-23T09:54:02.197Z,"1km NNW of The Geysers, California",earthquake
2014-01-23T09:24:04.940Z,36.0906667,-117.8676667,4.25,0.51,ml,10,162,0.02895,0.11,ci,ci11416770,2014-01-23T18:26:07.120Z,"49km N of Inyokern, California",earthquake
2014-01-23T09:20:58.730Z,35.1354,140.8917,33.4,4.6,mb,,121,2.204,1.12,us,usb000m6kx,2014-01-23T10:46:17.000Z,"48km ESE of Ohara, Japan",earthquake
2014-01-23T09:17:46.000Z,61.651,-151.9241,104,1.7,ml,17,151.199987904001,0.3449531,0.65,ak,ak11143001,2014-01-23T17:07:52.619Z,"100km W of Willow, Alaska",earthquake
2014-01-23T09:17:15.000Z,52.2394,-175.7895,247.8,2.8,ml,12,183.599985312001,0.2218839,0.32,ak,ak11143002,2014-01-23T17:19:41.793Z,"71km NE of Adak, Alaska",earthquake
2014-01-23T09:10:19.000Z,60.9833,-150.7816,74.4,3.3,ml,63,53.9999956800003,0.2802744,1.09,ak,ak11142993,2014-01-23T09:28:24.213Z,"42km NE of Nikiski, Alaska",earthquake
2014-01-23T08:59:57.477Z,39.4243,-119.5705,8.7562,0.83,ml,17,123,0.143,0.0946,nn,nn00435679,2014-01-23T09:36:49.403Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T08:30:25.000Z,63.5814,-149.5801,96.4,1.5,ml,14,93.5999925120006,0.3215969,0.71,ak,ak11142958,2014-01-23T08:41:44.112Z,"37km NW of Cantwell, Alaska",earthquake
2014-01-23T08:03:59.690Z,36.0146667,-117.8876667,6.52,0.04,ml,8,145,0.007214,0.07,ci,ci11416762,2014-01-23T18:24:02.106Z,"41km N of Inyokern, California",earthquake
2014-01-23T07:57:27.200Z,36.8245,-121.2995,12.3,1.3,Md,,172.8,0.06288207,0.01,nc,nc72145290,2014-01-23T09:32:04.806Z,"6km ENE of Ridgemark, California",earthquake
2014-01-23T07:40:14.000Z,61.082,-150.9134,74.4,3.1,ml,61,50.3999959680003,0.3341733,0.87,ak,ak11142907,2014-01-23T08:03:17.129Z,"48km NNE of Nikiski, Alaska",earthquake
2014-01-23T07:32:41.500Z,33.3668333,-116.2615,12.65,1.19,ml,40,171,0.09705,0.18,ci,ci11416754,2014-01-23T19:08:48.380Z,"16km NE of Borrego Springs, California",earthquake
2014-01-23T07:29:40.420Z,12.8754,-88.5831,66.93,5.1,mb,,110,1.828,1.19,us,usb000m6kb,2014-01-23T16:46:04.191Z,"45km S of Puerto El Triunfo, El Salvador",earthquake
2014-01-23T07:13:53.900Z,36.1771667,-118.068,0.03,0.49,ml,10,266,0.1824,0.08,ci,ci11416746,2014-01-23T18:55:32.724Z,"47km S of Lone Pine, California",earthquake
2014-01-23T06:27:15.000Z,64.7318,-150.6605,21.9,2.1,ml,14,122.399990208001,0.3000373,1.16,ak,ak11142865,2014-01-23T06:35:59.765Z,"30km S of Manley Hot Springs, Alaska",earthquake
2014-01-23T06:15:03.860Z,45.5107,26.2464,127.48,4.7,mb,,35,0.212,1.22,us,usb000m6js,2014-01-23T19:50:18.473Z,"11km NNW of Nehoiu, Romania",earthquake
2014-01-23T06:08:26.820Z,13.4194,145.7301,34.68,4.7,mb,,101,0.855,0.93,us,usb000m6jw,2014-01-23T14:11:22.460Z,"91km E of Yigo Mayor's Office, Guam",earthquake
2014-01-23T06:02:55.900Z,18.731,-64.1641,36,3.2,Md,4,338.4,0.53000602,0.17,pr,pr14023000,2014-01-23T14:05:50.970Z,"59km NE of Road Town, British Virgin Islands",earthquake
2014-01-23T05:52:17.797Z,39.4256,-119.5646,8.0883,0.47,ml,12,124,0.146,0.1301,nn,nn00435669,2014-01-23T06:18:36.507Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T05:47:07.330Z,33.6908333,-116.7393333,19.64,1.29,ml,49,35,0.02918,0.14,ci,ci11416738,2014-01-23T18:52:46.710Z,"5km SSW of Idyllwild, California",earthquake
2014-01-23T05:42:39.666Z,39.4253,-119.5696,7.3299,0.67,ml,6,123,0.144,0.1221,nn,nn00435661,2014-01-23T06:06:45.943Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T05:37:51.400Z,38.8357,-122.7742,2.2,0.9,Md,,100.8,0.00898315,0.02,nc,nc72145265,2014-01-23T05:52:06.179Z,"4km WNW of Cobb, California",earthquake
2014-01-23T05:28:23.615Z,39.4277,-119.5757,8.0307,0.71,ml,5,156,0.144,0.087,nn,nn00435659,2014-01-23T06:02:09.599Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T05:24:04.210Z,13.452,145.9332,35,5.5,mb,,94,1.044,1.37,us,usb000m6jk,2014-01-23T14:56:25.000Z,"110km SE of Rota, Northern Mariana Islands",earthquake
2014-01-23T05:18:31.000Z,60.161,-153.3334,155.3,2.4,ml,24,125.999989920001,0.1401372,0.72,ak,ak11142824,2014-01-23T16:58:45.742Z,"48km SW of Redoubt Volcano, Alaska",earthquake
2014-01-23T05:09:02.970Z,35.924,-117.716,2.8,0.33,ml,10,88,0.086,0.13,ci,ci11416730,2014-01-23T18:44:21.302Z,"31km N of China Lake Acres, California",earthquake
2014-01-23T04:59:54.410Z,13.3725,146.0076,29.7,5.9,mwp,,71,1.129,0.88,us,usb000m6jc,2014-01-23T16:56:22.000Z,"122km E of Yigo Village, Guam",earthquake
2014-01-23T04:54:44.400Z,43.7162,-121.259,0.4,0.5,Md,,165.6,0.02694946,0.06,uw,uw60674372,2014-01-23T19:14:55.678Z,"20km SE of Three Rivers, Oregon",earthquake
2014-01-23T04:49:11.700Z,43.7222,-121.2395,2.5,1.2,Ml,,122.4,0.01796631,0.1,uw,uw60674367,2014-01-23T20:11:09.992Z,"21km ESE of Three Rivers, Oregon",earthquake
2014-01-23T04:45:00.478Z,39.4248,-119.568,9.37,0.89,ml,20,124,0.144,0.0929,nn,nn00435655,2014-01-23T19:21:40.966Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T04:43:42.642Z,39.4243,-119.5692,8.947,0.99,ml,21,124,0.143,0.0954,nn,nn00435654,2014-01-23T09:17:01.029Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T04:27:49.830Z,36.0175,-117.8873333,5.88,-0.03,ml,9,146,0.009998,0.11,ci,ci11416722,2014-01-23T18:42:22.277Z,"41km N of Inyokern, California",earthquake
2014-01-23T04:14:42.800Z,38.8422,-122.8432,1.8,0.4,Md,,104.4,0.00898315,0.01,nc,nc72145235,2014-01-23T04:29:07.206Z,"10km WNW of Cobb, California",earthquake
2014-01-23T04:10:40.100Z,40.4472,-125.2152,2.5,4.6,Mw,,241.2,0.67373646,0.26,nc,nc72145230,2014-01-23T20:41:33.140Z,"81km W of Ferndale, California",earthquake
2014-01-23T03:57:26.390Z,39.426,-119.5749,8.7192,0.63,ml,6,122,0.143,0.0825,nn,nn00435667,2014-01-23T06:14:02.140Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T03:37:02.040Z,36.1051667,-117.8781667,5.82,0.29,ml,8,230,0.02268,0.12,ci,ci11416706,2014-01-23T18:35:12.205Z,"51km N of Inyokern, California",earthquake
2014-01-23T03:22:22.691Z,39.4282,-119.5703,8.7351,1.02,ml,8,123,0.147,0.0975,nn,nn00435666,2014-01-23T06:13:57.149Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T03:22:12.600Z,38.831,-122.8657,6.9,0.6,Md,,219.6,0.00898315,0.07,nc,nc72145205,2014-01-23T03:23:49.868Z,"11km WNW of The Geysers, California",earthquake
2014-01-23T03:20:04.877Z,39.4298,-119.5744,8.0181,0.52,ml,5,156,0.147,0.11,nn,nn00435665,2014-01-23T06:07:01.580Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T03:15:05.158Z,39.4274,-119.5797,8.2052,0.56,ml,5,155,0.143,0.082,nn,nn00435664,2014-01-23T06:06:57.648Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T03:13:24.853Z,39.4234,-119.5687,10.3456,1.48,ml,25,124,0.143,0.1313,nn,nn00435651,2014-01-23T09:16:30.853Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T03:10:28.900Z,38.7733,-122.7457,2.7,0.9,Md,,72,0.00898315,0.01,nc,nc72145195,2014-01-23T03:36:06.219Z,"1km ESE of The Geysers, California",earthquake
2014-01-23T03:07:31.539Z,39.4283,-119.5742,7.6807,0.86,ml,5,156,0.145,0.076,nn,nn00435663,2014-01-23T06:06:53.092Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T03:07:05.447Z,39.4238,-119.5623,7.5387,0.54,ml,5,160,0.145,0.0551,nn,nn00435662,2014-01-23T06:06:49.548Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T03:05:39.480Z,-28.4545,-67.4991,153.87,4.4,mb,,112,2.565,1.25,us,usb000m6iu,2014-01-23T11:08:20.297Z,"43km S of Tinogasta, Argentina",earthquake
2014-01-23T03:01:34.100Z,38.8135,-122.792,3.7,0.5,Md,,100.8,0.00898315,0.03,nc,nc72145190,2014-01-23T03:24:04.914Z,"5km NW of The Geysers, California",earthquake
2014-01-23T02:58:21.155Z,39.4245,-119.5692,9.4775,1.25,ml,21,124,0.144,0.1063,nn,nn00435650,2014-01-23T10:05:27.681Z,"14km NNE of Virginia City, Nevada",earthquake
2014-01-23T02:48:28.060Z,36.0083333,-117.8208333,2.58,-0.15,ml,8,93,0.02756,0.12,ci,ci11416698,2014-01-23T18:33:02.191Z,"40km N of Inyokern, California",earthquake
2014-01-23T02:47:12.980Z,35.586,-118.5435,2.17,1.45,ml,19,93,0.09525,0.14,ci,ci11416690,2014-01-23T18:29:55.020Z,"4km W of Bodfish, California",earthquake
2014-01-23T02:36:34.670Z,-7.7569,129.3204,72.92,5,mb,,42,1.972,1.12,us,usb000m6iq,2014-01-23T10:39:08.101Z,"221km W of Saumlaki, Indonesia",earthquake
2014-01-23T02:35:15.400Z,46.0588,-122.3883,16.8,0.7,Md,,86.4,0.00898315,0.15,uw,uw60674347,2014-01-23T19:47:21.336Z,"17km NNE of Amboy, Washington",earthquake
2014-01-23T02:33:57.780Z,36.0126667,-117.8118333,1.97,0.85,ml,12,82,0.03021,0.09,ci,ci11416682,2014-01-23T18:27:51.790Z,"40km N of Inyokern, California",earthquake
2014-01-23T02:33:09.000Z,63.3467,-150.0286,88,1.3,ml,15,82.7999933760005,0.1554085,1.15,ak,ak11142764,2014-01-23T02:40:01.882Z,"54km W of Cantwell, Alaska",earthquake
2014-01-23T02:24:32.230Z,34.0098333,-117.1916667,2.55,0.77,ml,24,54,0.07062,0.11,ci,ci11416666,2014-01-23T18:21:05.650Z,"5km S of Redlands, California",earthquake
2014-01-23T02:24:32.190Z,34.0125,-117.1956667,4,0.71,ml,12,119,0.07285,0.09,ci,ci11416674,2014-01-23T18:27:02.129Z,"4km SSW of Redlands, California",earthquake
2014-01-23T02:18:06.700Z,38.8028,-122.7718,1.8,0.9,Md,,108,0.00898315,0.02,nc,nc72145175,2014-01-23T02:19:47.886Z,"3km NNW of The Geysers, California",earthquake
2014-01-23T02:18:03.690Z,36.112,-117.9053333,4.2,0.78,ml,9,254,0.04128,0.08,ci,ci11416658,2014-01-23T18:18:57.080Z,"52km N of Inyokern, California",earthquake
2014-01-23T02:08:21.000Z,60.6244,-148.0548,33.1,1.8,ml,5,172.799986176001,0.2703929,0.79,ak,ak11142758,2014-01-23T02:14:27.787Z,"38km ESE of Whittier, Alaska",earthquake
2014-01-23T01:50:38.000Z,33.2815,-116.8243333,9.43,1.08,ml,16,90,0.07875,0.1,ci,ci11416650,2014-01-23T18:15:11.840Z,"18km SSE of Aguanga, California",earthquake
2014-01-23T01:50:14.010Z,33.278,-116.8316667,9.04,1.54,ml,44,53,0.07975,0.15,ci,ci11416642,2014-01-23T18:08:24.972Z,"18km S of Aguanga, California",earthquake
2014-01-23T01:24:36.000Z,63.9417,-148.968,0.1,1.8,ml,23,57.5999953920004,0.2093075,0.66,ak,ak11142742,2014-01-23T01:36:46.389Z,"9km N of Healy, Alaska",earthquake
2014-01-23T01:22:27.900Z,46.3437,-122.208,4.3,0.4,Md,,151.2,0.00898315,0.19,uw,uw60674317,2014-01-23T19:41:10.641Z,"24km SSE of Morton, Washington",earthquake
2014-01-23T01:21:02.600Z,38.8302,-122.8048,3.7,0.6,Md,,93.6,0.01796631,0.06,nc,nc72145160,2014-01-23T01:36:08.050Z,"7km W of Cobb, California",earthquake
2014-01-23T01:10:11.100Z,37.6318,-119.0238,5.3,0.7,Md,,72,0.00898315,0.03,nc,nc72145150,2014-01-23T01:32:07.603Z,"4km WSW of Mammoth Lakes, California",earthquake
2014-01-23T01:09:45.000Z,44.8305,-110.505,7.6,2,Ml,,140.4,0.11678099,0.08,uu,uu60052812,2014-01-23T19:54:19.503Z,"48km NNE of Old Faithful Geyser, Wyoming",earthquake
